iter	Passed	Remaining
641	4449	2481
642	4456	2474
643	4463	2467
644	4467	2458
645	4472	2450
646	4478	2443
647	4481	2434
648	4486	2426
649	4492	2419
650	4497	24650651	4502	24651652	4508	23652653	4514	23653654	4520	23654	4521	2381
655656	4536	23656657	4545	23657658	4557	23658659	4570	23665660	4592	2355
661	4599	2348
662	4609	23662663	4622	23663664	4634	2334
665	4653	2333
666	4665	2329
667	4679	2325
668	4720	2335
669	4751	23669670	4768	23670671	4798	23671672	4817	23672	4865	2364
673	4893	2366
674	4906	2362
675	4925	2360
676	4936	2355
677	4967	2359
678	4983	2355
679	4995	2350
680	5013	2348
681	5047	2353
682	5073	2354
683	5088	2350
684	5095	2343
685	5106	2337
686	5123	2334
687688	5183	2339
689	5191	2332
690	5207	2328
691	5224	2325
692	5250	2325
693	5255	2317
694	5258	2307
695	5262	2298
696	5266	22696	5267	2290
697	5271	2280
698	5276	2272
699	5285	2265
700	5292	2257
701	5303	2251
702	5309	2243
7703	5309	2232704	5321	2226
705	5331	2220
7706	5334	22107707	5342	22037708	5347	21947709	5354	21877710	5361	2179711	5374	2173
712	5385	2167
713	5411	2167
714	5431	2164
715	5439	2157
716	5455	2153
717	5464	2146
718	5470	2137
719	5474	2128
720	5478	2120
721	5482	2110
722	5488	2102
723	5493	2094
724	5498	2085
725	5503	2077
726	5508	2068
727	5514	2060
728	5519	2051
729	5524	2043
730	5529	2034
731	5535	2026
732	5539	2017
733	5547	2010
734	5555	2002
735	5557	1993
736	5562	1985
737	5568	1977
738	5572	1968
739	5576	1959
740	5582	1951
741	5586	1942
742	5589	1933
743	5596	1925
744	5602	1917
745	5607	1909
746	5613	1901
747	5617	1892
748	5622	1884
749	5630	1876
750	5636	1868
751	5641	1860
752	5645	1851
753	5650	1843
754	5657	1835
755	5662	1827
756	5667	1819
757	5674	1811
758	5680	1803
759	5685	1795
760	5693	1788
761	5698	1779
762	5708	1773
763	5714	1765
764	5721	1757
765	5728	1749
766	5734	1741
767	5738	1733
768	5747	1726
769	5753	1718
770	5759	1710
771	5764	1702
772	5768	1694
773	5775	1686
774	5782	1678
775	5790	1671
776	5798	1664
777	5804	1656
778	5813	1649
779	5816	1640
780	5823	1632
781	5828	1624
782	5833	1616
783	5837	1608
784	5842	1600
785	5849	1592
786	5853	1584
787	5862	1577
788	5867	1569
789	5871	1560
790	5877	1553
791	5883	1545
792	5887	1536
793	5895	1529
794	5906	1523
795	5912	1515
796	5918	1507
797	5924	1499
798	5929	1491
799	5934	1483
800	5939	1475
801	5942	1467
802	5946	1458
803	5955	1451
804	5960	1443
805	5964	1435
806	5970	1427
807	5976	1420
808	5981	1412
809	5987	1404
810	5994	1396
811	6000	1389
812	6007	1381
813	6014	1374
814	6021	1366
815	6028	1359
816	6033	1351
817	6040	1344
818	6049	1336
819	6056	1329
820	6060	1321
821	6066	1313
822	6075	1306
823	6080	1298
824	6088	1291
825	6096	1284
826	6102	1276
827	6107	1268
828	6113	1261
829	6119	1253
830	6125	1245
831	6130	1237
832	6136	1230
833	6141	1222
834	6149	1215
835	6153	1207
836	6158	1199
837	6162	1191
838	6167	1183
839	6173	1175
840	6177	1168
841	6180	1159
842	6184	1151
843	6189	1143
844	6192	1135
845	6198	1128
846	6204	1120
847	6209	1113
848	6213	1105
849	6221	1097
850	6225	1090
851	6234	1082
852	6240	1075
853	6244	1067
854	6251	1060
855	6256	1052
856	6261	1044
857	6268	1037
858	6273	1029
859	6280	1022
860	6288	1015
861	6297	1008
862	6303	1000
863	6310	993
864	6336	988
865	6363	984
866	6370	977
867	6384	970
868	6389	963
869	6396	955
870	6405	948
871	6413	941
872	6422	934
873	6425	926
874	6431	918
875	6436	911
876	6446	904
877	6452	896
878	6459	889
879	6465	881
880	6470	873
881	6479	866
882	6486	859
883	6489	851
884	6495	843
885	6501	836
886	6508	829
887	6513	821
888	6515	813
889	6522	806
890	6528	798
891	6535	791
892	6542	783
893	6550	776
894	6555	769
895	6558	761
896	6566	754
897	6573	746
898	6580	739
