iter	Passed	Remaining
943	6903	409
944	6905	401
945	6907	394
946	6909	386
947	6911	379
948	6913	371
949	6915	363
950	6916	356
951	6918	348
952	6920	341
953	6922	333
954	6924	326
955	6926	318
956	6927	311
957	6930	303
958	6932	296
959	6934	288
960	6936	281
961	6939	274
962	6941	266
963	6944	259
964	6946	251
965	6948	244
966	6950	237
967	6952	229
968	6955	222
969	6957	215
970	6959	207
971	6961	200
972	6963	193
973	6966	185
974	6968	178
975	6970	171
976	6972	164
977	6974	156
978	6976	149
979	6978	142
980	6981	135
981	6983	128
982	6985	120
983	6987	113
984	6989	106
985	6991	99
986	6993	92
987	6996	84
988	6999	77
989	7001	70
990	7004	63
991	7007	56
992	7009	49
993	7011	42
994	7014	35
995	7016	28
996	7018	21
997	7020	14
998	7023	7
999	7025	0
987	0
98	7547	7
999	7551	0
